" Year" "     Jan" "     Feb" "     Mar" "     Apr" "     May" "     Jun" "     Jul" "     Aug" "     Sep" "     Oct" "     Nov" "     Dec" "  Annual" "  Winter" "  Spring" "  Summer" "  Autumn"
"1933" "   -15.8" "   -17.8" "   -13.8" "    -2.4" "     3.3" "     8.0" "    11.4" "     9.8" "     7.1" "     0.8" "   -13.5" "   -25.1" "    -4.0" "   -16.0" "    -4.3" "     9.7" "    -1.9"
"1934" "   -23.4" "   -29.6" "   -14.0" "    -2.1" "     4.4" "    11.3" "    12.4" " NA" "     8.7" " NA" "    -3.0" "   -19.4" " NA" "   -26.0" "    -3.9" " NA" " NA"
"1935" " NA" "   -26.0" "   -17.4" "    -2.4" "     1.8" "     9.3" "    11.8" "    11.2" "     3.9" "    -0.1" "    -6.1" " NA" " NA" " NA" "    -6.0" "    10.8" "    -0.8"
"1936" "   -20.3" "   -24.7" "    -7.7" "    -3.0" "     3.5" " NA" "    11.5" "     9.2" "     5.3" "    -0.1" "   -10.3" "   -18.4" " NA" " NA" "    -2.4" " NA" "    -1.7"
"1937" "   -21.3" "   -16.3" "   -15.2" "    -3.0" "     5.7" "     9.6" "    13.0" "    13.1" "     5.7" "     2.4" "    -4.1" "   -15.7" "    -2.2" "   -18.7" "    -4.2" "    11.9" "     1.3"
"1938" "   -22.4" "   -22.7" "   -13.8" "    -1.9" "     3.4" "     9.8" "    11.8" "    11.4" "     4.7" "    -0.2" "    -7.1" "   -15.6" "    -3.6" "   -20.3" "    -4.1" "    11.0" "    -0.9"
"1939" "   -24.1" "   -22.5" "   -18.0" "    -1.7" "     2.5" " NA" "    13.7" "    11.8" " NA" " NA" " NA" "   -13.4" " NA" "   -20.7" "    -5.7" " NA" " NA"
"1940" "   -22.1" "   -21.9" "   -14.2" "    -4.5" "     4.2" "     7.7" " NA" "     8.6" "     5.6" "    -2.4" "    -5.9" "   -17.6" " NA" "   -19.1" "    -4.8" " NA" "    -0.9"
"1941" " NA" "   -18.0" "   -15.3" "    -3.4" "     2.5" "     7.8" "    10.1" "     7.3" "     5.2" "    -0.3" "    -5.6" "   -15.2" " NA" " NA" "    -5.4" "     8.4" "    -0.2"
"1942" "   -24.3" "   -20.1" "   -11.3" "    -3.7" "     4.3" "     8.5" "     8.9" "     8.2" "     3.8" "     0.2" "    -6.2" "   -21.0" "    -4.4" "   -19.9" "    -3.6" "     8.5" "    -0.7"
"1943" "   -24.9" "   -21.3" "   -18.4" "    -8.4" "     2.4" "     8.3" "    12.0" "    10.9" "     4.9" "     2.1" "    -4.9" "   -19.7" "    -4.8" "   -22.4" "    -8.1" "    10.4" "     0.7"
"1944" "   -17.2" "   -23.8" "   -17.9" "    -7.1" "     4.0" "     8.4" "    11.8" "    11.2" "     8.1" "     0.5" "    -4.3" "   -19.8" "    -3.8" "   -20.2" "    -7.0" "    10.5" "     1.4"
"1945" "   -25.5" "   -18.3" "    -9.9" " NA" " NA" " NA" " NA" " NA" " NA" "     0.2" "    -6.6" "   -17.8" " NA" "   -21.2" " NA" " NA" " NA"
"1946" "   -22.8" "   -24.7" "    -9.6" "    -3.1" "     1.5" "     5.3" "     9.6" "     8.6" "     6.2" "     0.2" "    -6.2" "   -16.2" "    -4.3" "   -21.8" "    -3.7" "     7.8" "     0.1"
"1947" "   -23.8" "   -22.0" "   -10.8" "    -8.2" "     0.5" "     8.1" "    13.6" "    11.3" "     3.7" "     1.6" "    -6.9" "   -17.6" "    -4.2" "   -20.7" "    -6.2" "    11.0" "    -0.5"
"1948" "   -23.5" "   -28.4" "   -17.0" "    -5.2" "     2.8" "     5.8" "    11.1" "    10.9" "     6.2" "     0.0" "    -1.7" "   -12.5" "    -4.3" "   -23.2" "    -6.5" "     9.3" "     1.5"
"1949" "   -20.9" "   -23.1" "   -15.4" "    -2.1" "     1.3" "     9.9" "    10.8" "     9.7" "     5.8" "     0.2" "    -8.5" "   -12.9" "    -3.8" "   -18.8" "    -5.4" "    10.1" "    -0.8"
"1950" "   -19.3" "   -23.9" "   -20.6" "    -6.0" "     0.5" "     8.2" "    10.4" "     8.0" "     3.2" "     1.5" "    -3.8" "   -13.3" "    -4.6" "   -18.7" "    -8.7" "     8.9" "     0.3"
"1951" "   -21.2" "   -20.0" "   -12.7" "     0.0" "     2.7" "     8.1" "    10.6" "     9.8" "     5.9" "     1.2" "    -7.4" "   -16.1" "    -3.3" "   -18.2" "    -3.3" "     9.5" "    -0.1"
"1952" "   -23.1" "   -17.1" "    -9.1" "    -3.3" "     3.1" "     9.2" "    14.0" "    10.7" "     7.0" "    -0.1" "    -3.7" "   -10.7" "    -1.9" "   -18.8" "    -3.1" "    11.3" "     1.1"
"1953" "   -17.8" "   -15.6" "    -8.9" "    -0.2" "     3.5" "     8.4" "    11.3" "     9.3" " NA" "     0.3" "    -1.5" "   -11.6" " NA" "   -14.7" "    -1.9" "     9.7" " NA"
"1954" "   -23.6" "   -12.7" "   -12.0" "    -4.6" "     4.0" "    10.0" " NA" "     9.8" "     6.9" "     2.6" "    -2.8" "   -13.1" " NA" "   -16.0" "    -4.2" " NA" "     2.2"
"1955" "   -18.8" "   -18.2" "   -13.0" "    -2.3" "     6.2" "    10.6" "    12.9" "    12.5" "     5.5" "     1.7" "    -3.4" "   -18.3" "    -2.1" "   -16.7" "    -3.0" "    12.0" "     1.3"
"1956" "   -13.4" "   -17.1" "   -16.8" "    -3.0" "     0.4" "     9.0" "    10.5" "     9.4" "     4.8" "     0.9" "    -5.4" "   -16.3" "    -3.1" "   -16.3" "    -6.5" "     9.6" "     0.1"
"1957" "   -24.6" "   -16.7" "   -11.3" "    -2.8" "     2.3" "    10.1" "    11.4" "     8.5" "     7.2" "     2.0" "    -1.9" "   -12.6" "    -2.4" "   -19.2" "    -3.9" "    10.0" "     2.4"
"1958" "   -15.1" "   -17.6" "    -4.4" "    -1.3" "     2.4" "     6.0" "    12.3" "    10.7" "     8.0" "     1.6" "    -4.7" "   -21.8" "    -2.0" "   -15.1" "    -1.1" "     9.7" "     1.6"
"1959" "   -18.9" "   -25.8" "   -16.6" "    -2.9" "     4.8" "     9.9" "    13.7" "    13.3" "     8.7" "     2.2" "    -5.1" "   -13.5" "    -2.5" "   -22.2" "    -4.9" "    12.3" "     1.9"
"1960" "   -17.9" "   -10.1" "   -11.5" "    -2.3" "     7.5" " NA" "    11.1" "    10.9" "     8.3" "     1.2" "    -1.0" "   -14.9" " NA" "   -13.8" "    -2.1" " NA" "     2.8"
"1961" "   -24.2" "   -17.3" "   -12.0" "    -0.6" "     2.7" "     8.3" "    12.4" "    12.4" "    10.7" "     3.2" "    -1.9" "   -11.7" "    -1.5" "   -18.8" "    -3.3" "    11.0" "     4.0"
"1962" "   -21.8" "   -22.8" "    -8.4" "    -3.1" "     5.4" "     8.7" "    10.1" "    11.9" "     6.8" "     2.2" "    -7.0" "   -17.7" "    -3.0" "   -18.8" "    -2.0" "    10.2" "     0.7"
"1963" "   -21.5" "   -25.0" "   -17.0" "    -2.9" "     2.1" "     9.9" "    14.2" "     9.4" "     3.9" "     2.7" "    -2.4" "   -19.7" "    -3.9" "   -21.4" "    -5.9" "    11.2" "     1.4"
"1964" "   -16.3" "   -19.1" "   -10.7" "    -3.3" "     4.5" "     7.4" "    13.7" "    10.0" "     5.7" "     0.2" "    -6.6" "   -13.8" "    -2.4" "   -18.4" "    -3.2" "    10.4" "    -0.2"
"1965" "   -23.0" "   -21.8" "   -11.5" "    -4.6" "     3.2" "     8.5" "     9.2" "    11.1" "     7.3" "     1.7" "    -7.5" "   -13.0" "    -3.4" "   -19.5" "    -4.3" "     9.6" "     0.5"
"1966" "   -16.2" "   -16.0" "    -7.9" "    -2.9" "     2.1" "    10.5" "    11.8" "    11.7" "     5.5" "     2.1" "    -2.1" "   -12.6" "    -1.2" "   -15.1" "    -2.9" "    11.3" "     1.8"
"1967" "   -15.9" "   -24.1" "   -16.7" "    -4.1" "     1.0" "    10.3" "    13.8" "    12.6" "     6.6" "     3.3" "    -4.8" "   -13.4" "    -2.6" "   -17.5" "    -6.6" "    12.2" "     1.7"
"1968" "   -24.0" "   -22.8" "    -9.3" "    -1.2" "     2.2" "     8.9" "    11.4" "     9.0" "     9.7" "     4.1" "    -6.4" "   -15.2" "    -2.8" "   -20.1" "    -2.8" "     9.8" "     2.5"
"1969" "   -15.2" "   -14.4" "   -10.4" "    -4.1" "     1.9" "     9.4" "    10.9" "    13.2" "     6.6" "     0.7" "    -2.3" "   -15.0" "    -1.6" "   -14.9" "    -4.2" "    11.2" "     1.7"
"1970" "   -26.9" "   -20.8" "   -11.1" "    -2.9" "     3.9" "     9.9" "    13.8" "    12.3" "     7.4" "     3.2" "    -2.8" "   -17.4" "    -2.6" "   -20.9" "    -3.4" "    12.0" "     2.6"
"1971" "   -23.1" "   -18.2" "   -11.7" "    -3.2" "     3.4" "     8.1" "    11.5" "    11.3" "     9.5" "     3.5" "    -5.9" "   -17.2" "    -2.7" "   -19.6" "    -3.8" "    10.3" "     2.4"
"1972" "   -21.1" "   -23.7" "   -15.0" "    -5.6" "     3.3" "     9.6" "    12.3" "     9.7" "     6.2" "    -0.1" "    -6.5" "   -18.6" "    -4.1" "   -20.7" "    -5.8" "    10.5" "    -0.1"
"1973" "   -18.3" "   -21.6" "    -6.2" "    -2.0" "     5.2" "    11.1" "    13.3" "    14.7" "     6.8" "     2.1" "    -4.9" "   -13.5" "    -1.1" "   -19.5" "    -1.0" "    13.0" "     1.3"
"1974" "   -23.1" "   -21.8" "   -14.7" "    -3.9" "     1.8" "    10.4" "    12.6" "    11.9" "     6.2" "    -0.6" "    -3.9" "   -11.2" "    -3.0" "   -19.5" "    -5.6" "    11.6" "     0.6"
"1975" "   -17.8" "   -18.9" "   -12.7" "    -4.5" "     5.4" "    11.0" "    14.5" "    12.2" "     7.7" "     2.2" "    -3.5" "   -19.0" "    -2.0" "   -16.0" "    -3.9" "    12.6" "     2.1"
"1976" "   -23.7" "   -18.1" "   -13.3" " NA" "     5.4" "    10.9" "    12.1" "    12.4" "     6.6" "     0.5" " NA" "   -21.1" " NA" "   -20.3" " NA" "    11.8" " NA"
"1977" "   -21.9" "   -15.0" "    -6.4" "    -3.9" "     4.1" " NA" "    12.0" "    11.2" "     7.0" "     2.1" "    -3.7" "   -15.5" " NA" "   -19.3" "    -2.1" " NA" "     1.8"
"1978" " NA" "   -20.5" "   -16.4" "    -2.9" "     4.4" "    10.2" "    11.5" "    11.0" "     3.9" "     1.2" "    -7.8" "   -16.8" " NA" " NA" "    -5.0" "    10.9" "    -0.9"
"1979" "   -17.9" "   -22.6" "    -7.2" "    -0.3" "     5.8" "     9.3" "    12.8" "    11.2" "     6.0" "     2.9" "    -3.0" " NA" " NA" "   -19.1" "    -0.6" "    11.1" "     2.0"
"1980" "   -18.8" "   -18.5" "   -10.5" "     0.0" "     3.9" "     8.6" "    12.1" "    13.2" "     6.2" "     0.6" "    -5.6" "   -22.3" "    -2.6" " NA" "    -2.2" "    11.3" "     0.4"
"1981" "   -23.1" "    -9.8" "    -7.4" "    -0.9" "     4.9" "     9.5" "    12.2" "    12.3" "     8.1" "    -0.1" "    -4.0" "   -10.5" "    -0.7" "   -18.4" "    -1.1" "    11.3" "     1.3"
"1982" "   -25.8" "   -20.5" "   -11.5" "    -4.8" "     5.1" "     9.0" "    11.9" "     9.6" "     8.4" "     2.8" "    -4.0" "   -12.6" "    -2.7" "   -18.9" "    -3.7" "    10.2" "     2.4"
"1983" "   -17.0" "   -15.3" "    -7.2" "    -0.6" "     4.4" "     9.9" "    12.9" "    12.1" "     9.1" "     1.8" "    -3.6" "   -18.1" "    -1.0" "   -15.0" "    -1.1" "    11.6" "     2.4"
"1984" "   -22.9" "   -10.5" " NA" "    -1.5" "     4.3" "     9.5" "    13.4" "    13.7" "     5.8" "     1.6" "    -4.8" "   -13.5" " NA" "   -17.2" " NA" "    12.2" "     0.9"
"1985" "   -22.9" "   -15.9" "   -12.0" "    -5.0" "     2.5" "     8.0" "    12.3" "    10.5" "     7.1" "     2.0" "    -6.2" "   -16.6" "    -3.0" "   -17.4" "    -4.8" "    10.3" "     1.0"
"1986" "   -19.4" "   -19.4" "   -11.3" "    -0.5" "     5.7" "     7.3" "    12.2" "    11.7" "     6.4" "     1.1" "    -6.6" "   -15.5" "    -2.4" "   -18.5" "    -2.0" "    10.4" "     0.3"
"1987" "   -18.3" "   -19.8" "    -8.3" "     1.1" "     4.1" "    11.0" "    14.0" "    10.7" "     7.4" "     0.3" "    -6.6" "   -11.9" "    -1.4" "   -17.9" "    -1.0" "    11.9" "     0.4"
"1988" "   -18.0" "   -19.7" "   -13.1" "    -1.3" "     5.4" "     8.6" "    13.7" "    12.5" "     6.1" "     0.3" "    -2.7" "   -18.5" "    -2.2" "   -16.5" "    -3.0" "    11.6" "     1.2"
"1989" "   -20.3" "   -23.4" "   -14.9" "    -3.3" "     6.7" "     9.7" "     9.6" "    11.6" "     6.8" "     1.0" "    -8.9" "   -26.3" "    -4.3" "   -20.7" "    -3.8" "    10.3" "    -0.4"
"1990" "   -13.7" "   -19.8" "   -13.1" "    -1.7" "     2.5" "    10.2" "    11.7" "    11.4" " NA" " NA" " NA" "   -15.5" " NA" "   -19.9" "    -4.1" "    11.1" " NA"
"1991" "   -24.0" "   -17.1" "   -10.0" "    -1.8" "     4.2" "     8.9" "    10.5" "    12.6" "     4.2" "     1.5" "    -5.1" "   -18.4" "    -2.9" "   -18.9" "    -2.5" "    10.7" "     0.2"
"1992" "   -23.2" "   -23.1" "   -16.6" "    -4.2" "     2.5" "     7.8" "     9.2" "    10.9" "     7.2" "    -0.5" "    -5.4" "   -13.1" "    -4.0" "   -21.6" "    -6.1" "     9.3" "     0.4"
"1993" "   -23.2" "   -26.8" "   -15.1" "    -1.8" "     4.2" "     8.1" "    13.2" "    12.5" "     5.0" "    -1.2" "    -7.6" "   -14.9" "    -4.0" "   -21.0" "    -4.2" "    11.3" "    -1.3"
"1994" "   -28.9" "   -23.1" "   -10.4" "    -3.8" "     0.7" "     9.9" "    13.2" "     9.4" "     5.7" "     1.5" "    -4.4" "   -12.5" "    -3.6" "   -22.3" "    -4.5" "    10.8" "     0.9"
"1995" "   -16.1" "   -21.7" "    -8.7" "    -4.6" "     3.1" "     8.7" "    13.6" "    10.0" "     3.9" "     3.6" "    -9.1" "   -17.3" "    -2.9" "   -16.8" "    -3.4" "    10.8" "    -0.5"
"1996" "   -22.8" "   -19.4" "   -12.8" "    -2.5" "     1.4" "    10.0" "    12.0" "    11.0" "     7.6" "    -0.2" "    -7.7" "    -8.0" "    -2.6" "   -19.8" "    -4.6" "    11.0" "    -0.1"
"1997" "   -20.4" "   -19.9" "   -17.3" "    -4.9" "     2.4" "     8.0" "    11.7" "     9.7" "     6.8" "    -0.5" "    -7.0" "   -15.1" "    -3.9" "   -16.1" "    -6.6" "     9.8" "    -0.2"
"1998" "   -18.4" "   -13.6" "    -9.6" "    -2.4" "     6.2" "    11.5" "    12.0" "    10.2" "     7.3" "     2.4" "    -3.0" "   -12.9" "    -0.9" "   -15.7" "    -1.9" "    11.2" "     2.2"
"1999" "   -22.3" "   -17.4" "    -9.7" "    -2.9" "     6.2" "    11.0" "    13.3" "    10.6" "     9.6" "    -0.6" "    -3.5" "   -12.2" "    -1.5" "   -17.5" "    -2.1" "    11.6" "     1.8"
"2000" "   -20.7" "   -18.4" "    -7.1" "    -4.1" "     3.7" "     6.9" "    11.2" "    11.2" "     5.3" " NA" " NA" "   -17.4" " NA" "   -17.1" "    -2.5" "     9.8" " NA"
"2001" "   -21.8" "   -22.0" "   -14.1" "    -4.6" "     3.7" "     9.8" "    10.9" "    10.6" "     6.7" "     2.3" "    -3.1" "    -8.0" "    -2.5" "   -20.4" "    -5.0" "    10.4" "     2.0"
"2002" "   -16.3" "   -18.0" "   -13.9" "    -3.4" "     1.9" "     6.6" "    12.0" "    11.0" "     7.2" "    -1.2" "    -7.1" "   -14.0" "    -2.9" "   -14.1" "    -5.1" "     9.9" "    -0.4"
"2003" "   -24.1" "   -24.2" "   -14.9" "    -5.7" "     2.6" "     7.1" "    11.9" "    12.3" "     7.6" "    -0.2" "    -4.0" "   -13.3" "    -3.7" "   -20.8" "    -6.0" "    10.4" "     1.1"
"2004" " NA" "   -18.8" "   -12.5" "    -3.5" "     1.9" "     6.3" "    12.1" "     9.6" "     6.3" "     0.1" "    -5.9" "   -19.8" " NA" " NA" "    -4.7" "     9.3" "     0.2"
"2005" "   -24.7" "   -18.8" "   -12.9" "    -2.0" "     3.0" "    10.9" "    10.9" "    11.3" "     7.7" "     3.5" "    -4.2" "   -16.0" "    -2.6" "   -21.1" "    -4.0" "    11.0" "     2.3"
"2006" "   -16.1" "   -19.7" "   -10.2" "    -3.0" "     5.7" "    10.1" "    13.1" "     8.8" "     5.6" "     0.6" "    -2.4" "   -12.0" "    -1.6" "   -17.3" "    -2.5" "    10.7" "     1.3"
"2007" "   -18.6" "   -24.2" "   -14.5" "    -3.7" "     1.7" "     8.4" "     9.9" "     8.3" "     4.5" "     2.7" "    -6.8" "   -17.6" "    -4.2" "   -18.3" "    -5.5" "     8.9" "     0.1"
"2008" "   -18.6" "   -21.1" "   -19.1" "    -2.9" " NA" "    10.6" "    13.2" "    11.5" "     6.1" "     0.0" "    -4.1" "   -19.3" " NA" "   -19.1" " NA" "    11.8" "     0.7"
"2009" "   -29.5" "   -20.1" "   -15.4" "    -3.0" " NA" " NA" "    12.4" "    10.6" "     5.1" "    -0.4" "    -4.4" "   -14.2" " NA" "   -23.0" " NA" " NA" "     0.1"
"2010" "   -14.7" "   -10.8" "    -8.9" "    -2.1" "     2.2" "     7.5" "    12.9" "    10.6" "     7.9" "    -0.4" "    -5.9" "   -12.6" "    -1.2" "   -13.2" "    -2.9" "    10.3" "     0.5"
"2011" "   -19.8" "   -20.6" "   -13.1" "    -4.9" "     4.2" "     8.8" "    12.0" "    11.9" "     7.4" "     1.1" "    -3.2" "   -12.7" "    -2.4" "   -17.7" "    -4.6" "    10.9" "     1.8"
"2012" "   -22.3" "   -19.0" "    -7.4" "    -2.8" "     4.3" "     9.2" "    11.1" "    11.9" "     6.5" "     2.1" "    -8.1" "   -12.7" "    -2.3" "   -18.0" "    -2.0" "    10.7" "     0.2"
"2013" "   -21.2" "   -17.0" "    -8.3" "    -4.7" "     3.7" "     8.1" "    11.3" "    11.1" "     6.0" "     0.7" "    -6.8" "   -20.4" "    -3.1" "   -17.0" "    -3.1" "    10.2" "     0.0"
"2014" "   -22.5" "   -22.4" "   -22.0" "    -5.0" "     3.9" "     9.5" "    11.5" "    11.2" "     5.7" "     2.5" "    -6.6" "   -12.9" "    -3.9" "   -21.8" "    -7.7" "    10.7" "     0.5"
"2015" "   -26.8" "   -31.1" "   -19.1" "    -6.2" "     3.9" "     6.7" "    11.2" "    12.8" "     8.3" "    -2.4" "    -4.6" "    -4.9" "    -4.4" "   -23.6" "    -7.1" "    10.2" "     0.4"
"2016" "   -14.8" "   -20.1" "   -15.8" "    -9.3" "     1.5" "     8.1" "    11.6" "    11.5" "     7.1" "     1.7" "    -1.5" "   -15.1" "    -2.9" "   -13.3" "    -7.9" "    10.4" "     2.4"
"2017" "   -16.6" "   -19.1" "   -16.5" "    -1.9" "     3.6" "     8.3" "    10.1" "     9.4" "     8.2" "     1.8" "    -8.9" "   -19.4" "    -3.4" "   -16.9" "    -4.9" "     9.3" "     0.4"
