7025442,NICOLET                                   ,QUE ,   monthly mean of homogeneous station pressure, (hPa), updated to December 2014
Year,    Jan, ,    Feb, ,    Mar, ,    Apr, ,    May, ,    Jun, ,    Jul, ,    Aug, ,    Sep, ,    Oct, ,    Nov, ,    Dec, , Annual, , Winter, , Spring, , Summer, , Autumn
1974,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1975,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1976,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1977,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1978,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1979,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1980,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1981,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1982,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1983,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1984,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1985,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1986,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1987,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1988,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1989,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1990,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1991,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1992,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1993,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1994,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1995,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1996,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1997,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1998,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
1999,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
2000,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M,-9999.9,M 
2001,-9999.9,M,-9999.9,M,-9999.9,M, 1016.8, , 1015.2, , 1012.7, , 1011.6, , 1012.6, , 1015.6, , 1013.7, , 1017.9, , 1013.2, , 1014.4, ,-9999.9,M, 1016.0, , 1012.3, , 1015.7,  
2002, 1011.2, , 1014.2, , 1018.1, , 1016.3, , 1012.6, , 1013.3, , 1011.8, , 1015.8, , 1015.0, , 1018.1, , 1011.6, , 1013.4, , 1014.3, , 1012.9, , 1015.7, , 1013.7, , 1014.9,  
2003, 1013.7, , 1015.4, , 1014.3, , 1017.3, , 1014.9, , 1010.9, , 1011.0, , 1013.7, , 1017.7, , 1012.0, , 1014.3, , 1014.1, , 1014.1, , 1014.2, , 1015.5, , 1011.9, , 1014.7,  
2004, 1013.2, , 1019.2, , 1019.1, , 1013.3, , 1013.9, , 1012.4, , 1012.1, , 1013.4, , 1019.0, , 1015.7, , 1017.8, , 1016.1, , 1015.4, , 1015.5, , 1015.4, , 1012.6, , 1017.5,  
2005, 1023.9, , 1019.6, , 1009.2, , 1013.3, , 1014.9, , 1011.8, , 1013.4, , 1013.4, , 1015.5, , 1015.2, , 1012.7, , 1012.9, , 1014.6, , 1019.8, , 1012.5, , 1012.8, , 1014.5,  
2006, 1013.1, , 1011.5, , 1012.5, , 1013.4, , 1010.5, ,-9999.9,M, 1011.4, , 1013.5, , 1013.7, , 1011.0, , 1018.1, , 1017.2, , 1013.3, , 1012.5, , 1012.1, , 1012.4, , 1014.3,  
2007, 1014.3, , 1010.4, , 1018.3, , 1011.1, , 1017.7, , 1011.0, , 1011.6, , 1012.9, , 1016.4, , 1015.2, , 1015.0, , 1018.1, , 1014.3, , 1014.0, , 1015.7, , 1011.8, , 1015.5,  
2008, 1016.6, , 1014.3, , 1016.0, , 1016.8, , 1008.3, , 1009.8, , 1010.4, , 1011.7, , 1017.7, , 1016.9, , 1014.1, , 1016.1, , 1014.1, , 1016.3, , 1013.7, , 1010.6, , 1016.3,  
2009, 1014.1, , 1014.6, , 1020.2, , 1012.6, , 1013.8, , 1010.2, , 1010.8, , 1013.1, , 1017.0, , 1015.1, , 1018.1, , 1015.4, , 1014.6, , 1014.9, , 1015.5, , 1011.3, , 1016.7,  
2010, 1012.2, , 1008.1, , 1014.5, , 1010.7, , 1012.7, , 1009.3, , 1010.4, , 1012.8, , 1010.9, , 1009.3, , 1017.4, , 1009.5, , 1011.5, , 1011.9, , 1012.6, , 1010.8, , 1012.5,  
2011, 1014.1, , 1013.5, , 1018.6, , 1011.2, , 1014.6, , 1010.2, , 1009.2, , 1008.7, , 1014.7, , 1013.4, , 1014.9, , 1018.0, , 1013.4, , 1012.3, , 1014.8, , 1009.4, , 1014.3,  
2012, 1013.7, , 1014.7, , 1016.8, , 1010.0, , 1013.8, , 1010.9, , 1010.9, , 1012.0, , 1013.8, , 1012.3, , 1019.6, , 1015.6, , 1013.7, , 1015.5, , 1013.6, , 1011.3, , 1015.2,  
2013, 1016.3, , 1015.0, , 1012.3, , 1017.3, , 1014.9, , 1011.0, , 1014.3, , 1012.7, , 1013.6, , 1014.5, , 1016.2, , 1017.4, , 1014.6, , 1015.7, , 1014.8, , 1012.7, , 1014.8,  
2014, 1012.2, , 1014.9, , 1015.3, , 1014.7, , 1013.5, , 1013.2, , 1010.5, , 1014.0, , 1016.3, , 1011.0, , 1012.2, , 1018.7, , 1013.9, , 1014.8, , 1014.5, , 1012.6, , 1013.2,  
