"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec" "Annual" "Winter" "Spring" "Summer" "Autumn"
"1944" "    -2.0" "    -7.0" "    -1.6" "    10.8" "    18.3" "    22.7" "    25.6" "    23.8" "    17.9" "    14.2" "     3.4" "    -5.8" "    10.0" "    -4.3" "     9.2" "    24.0" "    11.8"
"1945" "   -10.6" "    -4.7" "     7.9" "     9.1" "    14.9" "    21.8" "    25.1" "    25.5" "    17.0" "    12.1" "    -1.1" "    -9.1" "     9.0" "    -7.0" "    10.6" "    24.1" "     9.3"
"1946" "   -10.1" "    -8.8" "     9.7" "    12.9" "    18.2" "    23.0" "    28.1" "    25.3" "    20.5" "    12.8" "     3.7" "    -7.2" "    10.7" "    -9.3" "    13.6" "    25.5" "    12.3"
"1947" "    -4.6" "    -5.8" "     1.6" "     8.5" "    15.8" "    20.8" "    28.1" "    28.1" "    18.7" "    16.7" "    -1.0" "    -6.4" "    10.0" "    -5.9" "     8.6" "    25.7" "    11.5"
"1948" "    -9.7" " NA" " NA" " NA" "    14.6" "    21.4" "    25.7" "    25.7" "    22.5" "    14.0" "     1.6" "    -6.9" " NA" " NA" " NA" "    24.3" "    12.7"
"1949" "    -8.8" "    -9.5" "    -2.0" "    11.8" "    18.1" "    23.6" "    25.2" "    26.4" "    16.0" "    11.6" "     2.2" "    -9.6" "     8.8" "    -8.4" "     9.3" "    25.1" "     9.9"
"1950" "   -16.3" "    -6.7" "    -2.6" "     3.5" "    15.7" "    20.8" "    24.5" "    23.2" "    19.5" "    12.1" "    -2.9" "    -9.9" "     6.7" "   -10.9" "     5.5" "    22.8" "     9.6"
"1951" "   -11.2" "    -6.6" "    -2.3" "     8.0" "    20.3" "    22.2" "    25.4" "    21.3" "    15.3" "     8.3" "    -2.5" "    -9.0" "     7.4" "    -9.2" "     8.7" "    23.0" "     7.0"
"1952" "    -9.5" "    -2.5" "     0.1" "    15.3" "    18.3" "    23.0" "    24.6" "    23.0" "    19.2" "     8.6" "     1.7" "    -4.2" "     9.8" "    -7.0" "    11.2" "    23.5" "     9.8"
"1953" "    -9.2" "    -6.2" "     1.0" "     7.4" "    16.6" "    22.2" "    24.9" "    25.4" "    16.4" "    15.8" "     4.3" "    -7.2" "     9.3" "    -6.5" "     8.3" "    24.2" "    12.2"
"1954" "   -14.1" "     0.0" "    -1.5" "     6.2" "    11.5" "    22.7" "    26.4" "    22.6" "    16.3" "    10.3" "     2.4" "    -4.1" "     8.2" "    -7.1" "     5.4" "    23.9" "     9.7"
"1955" "    -9.6" "    -8.4" "    -3.4" "    14.5" "    18.9" "    23.2" "    27.1" "    26.8" "    18.1" "    11.4" "    -3.3" "    -9.8" "     8.8" "    -7.4" "    10.0" "    25.7" "     8.7"
"1956" "    -6.8" "    -7.0" "    -1.9" "     5.6" "    14.4" "    25.5" "    22.9" "    22.4" "    15.9" "    15.2" "     1.3" "    -7.5" "     8.3" "    -7.9" "     6.0" "    23.6" "    10.8"
"1957" "   -14.2" "    -7.7" "     0.8" "     8.6" "    18.1" "    20.1" "    26.6" "    23.0" "    16.5" "    11.8" "    -0.3" "    -5.5" "     8.2" "    -9.8" "     9.2" "    23.2" "     9.3"
"1958" "    -6.3" "    -6.6" "     4.5" "    13.1" "    17.5" "    19.7" "    23.0" "    22.8" "    19.2" "    13.6" "     1.1" "   -11.7" "     9.2" "    -6.1" "    11.7" "    21.8" "    11.3"
"1959" "   -15.1" "    -8.0" "     2.0" "     9.5" "    17.3" "    24.7" "    26.9" "    25.8" "    17.7" "     7.2" "    -5.3" "    -3.4" "     8.3" "   -11.6" "     9.6" "    25.8" "     6.5"
"1960" "    -9.3" "    -5.6" "    -2.3" "     8.3" "    18.4" "    21.4" "    26.3" "    26.3" "    18.8" "    11.5" "     1.7" "    -9.4" "     8.8" "    -6.1" "     8.1" "    24.7" "    10.7"
"1961" "   -11.5" "    -3.1" "     4.0" "     8.0" "    18.0" "    25.2" "    26.5" "    26.3" "    17.2" "    12.2" "     1.2" "    -7.7" "     9.7" "    -8.0" "    10.0" "    26.0" "    10.2"
"1962" "   -13.1" "    -9.9" "     1.9" "     7.6" "    18.5" "    23.7" "    23.9" "    24.1" "    17.5" "    13.0" "     2.8" "    -7.8" "     8.5" "   -10.2" "     9.3" "    23.9" "    11.1"
"1963" "   -15.8" "   -10.7" "     3.2" "    10.4" "    16.3" "    24.3" "    26.8" "    24.5" "    20.8" "    19.3" "     3.2" "   -11.3" "     9.3" "   -11.4" "    10.0" "    25.2" "    14.4"
"1964" "    -6.5" "    -4.5" "    -2.4" "    10.6" "    20.0" "    22.1" "    28.6" "    21.4" "    17.1" "    11.5" "     1.3" "   -10.1" "     9.1" "    -7.4" "     9.4" "    24.0" "    10.0"
"1965" "   -11.5" "    -9.8" "    -3.7" "     9.2" "    19.1" "    22.8" "    24.2" "    24.8" "    13.4" "    11.5" "    -1.0" "    -4.1" "     7.9" "   -10.5" "     8.2" "    23.9" "     8.0"
"1966" "   -15.7" "    -7.5" "     1.9" "     5.9" "    14.6" "    24.9" "    28.5" "    23.3" "    19.7" "     9.8" "    -2.7" "    -8.2" "     7.9" "    -9.1" "     7.5" "    25.6" "     8.9"
"1967" "   -10.5" "   -11.9" "     0.0" "     7.2" "    14.7" "    22.5" "    24.9" "    23.6" "    20.9" "     8.8" "    -0.4" "    -6.8" "     7.8" "   -10.2" "     7.3" "    23.7" "     9.8"
"1968" "    -9.8" "    -7.4" "     4.1" "     9.5" "    15.6" "    20.9" "    24.0" "    22.1" "    18.9" "    11.8" "     1.0" "    -8.7" "     8.5" "    -8.0" "     9.7" "    22.3" "    10.6"
"1969" "   -11.2" "    -3.9" "     0.7" "    12.5" "    17.1" "    17.9" "    24.1" "    26.1" "    18.2" "     7.0" "     1.6" "    -5.4" "     8.7" "    -7.9" "    10.1" "    22.7" "     8.9"
"1970" "   -12.8" "    -7.7" "     0.2" "     7.8" "    13.7" "    24.0" "    27.7" "    25.6" "    18.8" "    10.1" "    -0.3" "    -8.9" "     8.2" "    -8.6" "     7.2" "    25.8" "     9.5"
"1971" "   -14.8" "    -4.8" "     0.4" "     9.9" "    17.1" "    24.4" "    23.1" "    24.7" "    19.1" "    11.3" "    -1.4" "    -8.2" "     8.4" "    -9.5" "     9.1" "    24.1" "     9.7"
"1972" "   -15.6" "   -10.6" "    -1.2" "     7.9" "    21.8" "    23.0" "    22.9" "    23.9" "    15.3" "     7.9" "    -1.1" "   -11.7" "     6.9" "   -11.5" "     9.5" "    23.3" "     7.4"
"1973" "    -6.9" "    -6.1" "     6.0" "     9.3" "    17.8" "    22.1" "    24.7" "    25.3" "    17.2" "    13.1" "    -0.6" "    -9.4" "     9.4" "    -8.2" "    11.0" "    24.0" "     9.9"
"1974" "   -12.3" "    -6.2" "    -1.6" "     9.5" "    14.2" "    22.6" "    27.4" "    22.4" "    14.0" "    10.9" "     0.9" "    -3.7" "     8.2" "    -9.3" "     7.4" "    24.1" "     8.6"
"1975" "    -9.2" "    -6.6" "    -2.2" "     7.5" "    20.8" "    22.5" "    27.7" "    23.3" "    16.4" "    12.3" "     3.2" "    -7.9" "     9.0" "    -6.5" "     8.7" "    24.5" "    10.6"
"1976" "   -10.9" "    -3.0" "    -0.7" "    12.7" "    18.9" "    24.9" "    26.2" "    25.8" "    19.2" "     7.7" "    -2.5" "   -13.2" "     8.8" "    -7.3" "    10.3" "    25.6" "     8.1"
"1977" "   -14.9" "    -5.5" "     4.9" "    13.3" "    23.5" "    22.2" "    25.7" " NA" " NA" " NA" " NA" "   -10.0" " NA" "   -11.2" "    13.9" " NA" " NA"
"1978" "   -13.1" "    -7.4" "     0.9" "     9.4" "    20.2" "    22.2" "    23.3" "    23.2" "    18.7" "    11.7" "    -0.5" "   -10.6" "     8.2" "   -10.2" "    10.2" "    22.9" "    10.0"
"1979" "   -15.1" "   -11.0" "    -0.7" "     7.1" "    13.8" "    21.9" "    26.2" "    22.6" "    18.6" "     7.9" "    -0.2" "    -4.1" "     7.3" "   -12.2" "     6.7" "    23.6" "     8.8"
"1980" "   -10.7" "    -8.1" "    -0.8" "    13.7" "    21.8" "    22.2" "    25.8" "    23.5" " NA" "     7.2" " NA" "    -7.0" " NA" "    -7.6" "    11.6" "    23.8" " NA"
"1981" "    -7.7" "    -2.8" " NA" "    10.4" "    18.5" "    21.1" "    26.4" "    25.1" "    17.7" "     8.6" "     4.6" "    -6.4" " NA" "    -5.8" " NA" "    24.2" "    10.3"
"1982" "   -14.1" "    -7.9" "    -0.5" "     8.6" "    19.5" "    19.4" "    25.4" "    22.3" "    17.8" "    10.8" "    -0.7" "    -4.4" "     8.0" "    -9.5" "     9.2" "    22.4" "     9.3"
"1983" "    -6.2" "    -3.3" "     1.0" "     8.9" "    16.5" "    22.9" "    27.7" "    28.2" "    18.9" " NA" "     0.9" " NA" " NA" "    -4.6" "     8.8" "    26.3" " NA"
"1984" "   -10.9" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" "    11.2" " NA" "    -8.9" " NA" " NA" " NA" " NA" " NA"
"1985" " NA" " NA" "     1.6" "    10.1" "    17.9" "    18.5" "    24.3" "    20.8" "    16.1" "    11.0" "    -4.2" "   -11.7" " NA" " NA" "     9.9" "    21.2" "     7.6"
"1986" "    -7.1" "    -6.6" "     2.5" " NA" "    20.2" "    21.6" "    24.9" "    22.2" "    16.2" "     9.9" "    -2.3" "    -4.4" " NA" "    -8.5" " NA" "    22.9" "     7.9"
"1987" "    -6.9" "    -0.5" "     4.1" "    16.8" "    19.3" "    24.8" "    25.6" "    22.7" "    18.6" "     7.6" "     2.9" "    -4.1" "    10.9" "    -3.9" "    13.4" "    24.4" "     9.7"
"1988" "   -12.1" "    -9.5" "    -0.6" "    10.6" "    21.9" "    26.1" "    26.8" "    23.0" "    16.9" "     7.9" "    -0.7" "    -8.5" "     8.5" "    -8.6" "    10.6" "    25.3" "     8.0"
"1989" "    -7.3" "   -11.7" "    -2.5" "     8.2" "    19.1" "    21.2" "    26.6" "    24.0" "    18.5" "    11.7" "    -2.1" "   -13.3" "     7.7" "    -9.2" "     8.3" "    23.9" "     9.4"
"1990" "    -5.1" "    -4.4" "     2.9" "     9.6" "    16.8" "    22.7" "    24.9" "    25.4" "    18.7" "     9.8" "     2.1" "    -9.2" "     9.5" "    -7.6" "     9.8" "    24.3" "    10.2"
"1991" "   -11.5" "    -3.0" "     2.8" "    13.1" "    20.4" "    24.6" "    24.6" "    27.0" "    16.2" "     8.3" "    -3.3" "    -6.0" "     9.4" "    -7.9" "    12.1" "    25.4" "     7.1"
"1992" "    -6.6" "    -4.4" "     1.4" "     6.3" "    19.6" "    20.2" "    20.8" "    21.0" "    17.4" "     9.7" "    -1.5" "    -8.2" "     8.0" "    -5.7" "     9.1" "    20.7" "     8.5"
"1993" "    -8.8" "    -6.5" "     2.8" "     8.9" "    16.4" "    20.4" "    22.5" "    23.7" "    13.9" "     7.9" "    -1.2" "    -7.1" "     7.7" "    -7.8" "     9.4" "    22.2" "     6.9"
"1994" "   -16.6" "    -9.3" "     3.0" "     9.1" "    18.6" "    23.5" "    23.3" "    21.8" "    19.4" "    12.8" "     3.4" "    -2.7" "     8.9" "   -11.0" "    10.2" "    22.9" "    11.9"
"1995" "    -7.8" "    -8.5" "     2.6" "     6.1" "    16.9" "    26.6" "    24.4" "    25.6" "    17.5" "     8.6" "    -5.3" "    -9.4" "     8.1" "    -6.3" "     8.5" "    25.5" "     6.9"
"1996" "   -14.5" "    -8.0" "    -2.6" "     5.9" "    16.2" "    23.7" "    23.8" "    25.0" "    18.6" "     9.6" "    -3.2" "    -9.9" "     7.1" "   -10.6" "     6.5" "    24.2" "     8.3"
"1997" "   -11.4" "    -4.9" "    -0.2" "     9.3" "    15.0" "    24.7" "    25.3" "    24.1" "    20.3" "    10.6" "    -1.1" "    -2.3" "     9.1" "    -8.7" "     8.0" "    24.7" "     9.9"
"1998" "    -6.8" "     1.9" "     2.6" "    14.9" "    21.5" "    21.3" "    25.2" "    26.6" "    21.5" "    11.7" "     1.4" "    -6.5" "    11.3" "    -2.4" "    13.0" "    24.4" "    11.5"
"1999" "    -9.8" "    -1.2" "     3.6" "    12.7" "    19.1" "    23.0" "    26.0" "    23.0" "    16.4" "     9.7" "     5.3" "    -3.8" "    10.3" "    -5.8" "    11.8" "    24.0" "    10.5"
"2000" "    -8.6" "    -1.1" "     6.6" "     9.9" "    18.5" "    20.0" "    25.0" " NA" "    17.9" "    13.4" "     1.0" "   -12.9" " NA" "    -4.5" "    11.7" " NA" "    10.8"
"2001" "    -5.0" "    -9.1" "     1.8" "    10.0" "    19.1" "    24.3" "    25.9" "    26.0" "    19.3" "     9.1" "     6.2" "    -3.4" "    10.4" "    -9.0" "    10.3" "    25.4" "    11.5"
"2002" "    -6.4" "    -1.8" "    -3.2" "     8.2" "    14.7" "    23.6" "    27.3" "    23.8" "    20.4" "     4.9" "    -1.2" "    -4.0" "     8.9" "    -3.9" "     6.6" "    24.9" "     8.0"
"2003" "   -10.6" "    -9.3" "    -0.2" "    10.6" "    19.6" "    23.3" "    25.6" "    27.0" "    18.7" "    10.7" "    -0.3" "    -2.9" "     9.4" "    -8.0" "    10.0" "    25.3" "     9.7"
"2004" "   -13.9" "    -3.3" "     2.3" "     9.4" "    13.8" "    20.7" "    24.8" "    20.5" "    21.0" "    11.2" "     4.1" "    -7.8" "     8.6" "    -6.7" "     8.5" "    22.0" "    12.1"
"2005" "   -11.7" "    -3.5" "    -0.1" "    13.2" "    15.9" "    23.4" "    26.5" "    23.6" " NA" " NA" "     1.7" "    -5.7" " NA" "    -7.7" "     9.7" "    24.5" " NA"
"2006" "    -2.8" "    -7.2" "     3.0" "    15.6" "    19.0" "    24.4" "    28.5" "    25.5" "    17.9" "     7.9" "     1.3" "    -3.6" "    10.8" "    -5.2" "    12.5" "    26.1" "     9.0"
"2007" "    -8.7" "   -10.9" "     2.6" "    10.1" "    19.4" "    24.1" "    26.0" "    24.2" "    18.0" "    11.6" "     0.6" "    -7.3" "     9.1" "    -7.7" "    10.7" "    24.8" "    10.1"
"2008" "    -8.9" "    -7.8" "    -0.6" "     8.8" "    15.2" "    21.2" "    24.0" "    25.5" "    18.5" "    11.1" "     0.3" "   -11.8" "     8.0" "    -8.0" "     7.8" "    23.6" "    10.0"
"2009" "   -12.9" "    -6.5" "     0.9" "    10.1" "    14.9" "    21.2" "    21.8" "    22.7" "    22.5" "     6.8" "     5.9" "    -9.9" "     8.1" "   -10.4" "     8.6" "    21.9" "    11.7"
"2010" "    -8.5" "    -3.2" "     8.7" "    15.4" "    19.2" "    21.4" "    25.9" "    25.2" "    15.2" "    14.0" "     2.6" "    -8.7" "    10.6" "    -7.2" "    14.4" "    24.2" "    10.6"
"2011" "   -11.1" "    -6.4" "     0.7" "     9.5" "    17.5" "    21.5" "    26.8" "    25.8" "    19.6" "    13.9" "     3.2" "    -3.8" "     9.8" "    -8.7" "     9.2" "    24.7" "    12.2"
"2012" "    -5.0" "    -1.7" "     9.0" "    11.2" "    18.5" "    24.6" "    28.3" "    25.2" "    19.2" "     9.6" "     0.9" "    -6.9" "    11.1" "    -3.5" "    12.9" "    26.0" "     9.9"
"2013" "    -8.8" "    -6.2" "    -0.3" "     5.2" "    16.0" "    23.0" "    24.1" "    25.5" "    20.7" "    10.3" "    -0.1" "   -14.8" "     7.9" "    -7.3" "     7.0" "    24.2" "    10.3"
"2014" "   -14.3" "   -11.2" "    -2.4" "     7.7" "    17.1" "    22.3" "    24.0" "    23.4" "    17.7" "    11.0" "    -2.9" "    -4.4" "     7.3" "   -13.4" "     7.5" "    23.2" "     8.6"
"2015" "    -9.3" "   -13.0" "     3.0" "    11.5" "    17.6" "    22.7" "    25.9" "    23.1" "    21.8" "    11.5" "     5.2" "    -2.6" "     9.8" "    -8.9" "    10.7" "    23.9" "    12.8"
"2016" "    -8.1" "    -5.2" "     5.7" "     9.1" "    19.7" "    21.8" "    26.1" "    25.3" "    19.7" "    11.4" "     6.6" "    -7.3" "    10.4" "    -5.3" "    11.5" "    24.4" "    12.6"
"2017" "    -7.0" "    -3.0" "     1.7" "    11.3" "    16.7" "    22.9" "    25.2" "    22.9" "    19.2" "    12.0" "    -0.9" "   -10.6" "     9.2" "    -5.8" "     9.9" "    23.7" "    10.1"
